,NED_id,ra,dec,class
440,2MASX J17131541-2502266,258.3143,-25.040760000000002,j
441,2MASX J17154136-1206217,258.92233,-12.10608,j
442,2MASX J17202814-0058471,260.11731000000003,-0.9796799999999999,j
443,2MASX J17204089-0111573,260.17044,-1.1992,u
444,NGC 6328,260.92096000000004,-65.01024,p
445,2MASX J17243782-0243062,261.15756,-2.7183,u
446,MCG +12-16-046,263.13766,71.40287,j
447,CGCG 339-050,263.30234,70.77493,j
448,2MASX J17354374-0720527,263.93222000000003,-7.347980000000001,j
449,B2 1736+32,264.64905,32.9337,j
450,2MASX J17413827+1720172,265.40945,17.338160000000002,j
451,UGC 10950 NED01,265.7113,16.21402,p
452,2MASX J17435781+1935091,265.99097,19.58592,j
453,NGC 6454,266.23596000000003,55.7047,j
454,NGC 6466,267.03369,51.39918,j
455,NGC 6521,268.95184,62.612159999999996,p
456,UGC 11130,271.71109,69.82441,j
457,PKS 1801-702,271.81192000000004,-70.21067,p
458,2MASX J18082315+0841030,272.0965,8.68418,j
459,MCG +08-33-027,272.72839,50.01276,j
460,NGC 6577,273.00513,21.46349,j
461,2MASX J18175610+3348594,274.48373,33.81655,u
462,2MASX J18185802-5508155,274.74172999999996,-55.13762,j
463,NGC 6557,275.35278,-76.58333,p
464,CGCG 254-040,276.45557,46.90252,u
465,B2 1827+32A,277.23724,32.334559999999996,j
466,2MASX J18324117-3411274,278.17145,-34.190940000000005,j
467,CGCG 173-014,278.76419,32.69636,j
468,UGC 11294 NOTES01,279.16528,19.72928,j
469,CGCG 114-025,279.60938,17.19715,j
470,ESO 045- G 011,280.16086,-77.15794,p
471,2MASX J18405544-7555373,280.23105,-75.92705,j
472,3C 390.3,280.53747999999996,79.77141999999999,j
473,3C 388,281.01001,45.55825,p
474,UGC 11363 NED01,281.89502000000005,70.73358,j
475,PKS 1847-79,284.09271,-79.545,j
476,CGCG 201-045,284.40628,38.00895,p
477,2MASX J19131601+4706494,288.31667999999996,47.11375,j
478,2MASX J19133446+4201330,288.39362,42.02578,j
479,2MASX J19145766-2552012,288.74026000000003,-25.86705,j
480,2MASX J19204300-3831059,290.1792,-38.51834,p
481,PKS 1921-577,291.52386,-57.6713,j
482,2MASX J19264081+4123284,291.66998,41.39114,j
483,ESO 460- G 004,292.07086,-29.529009999999996,j
484,2MASX J19300192-1509191,292.508,-15.15535,j
485,ESO 338-IG 011 NED02,293.35413,-39.672540000000005,j
486,2MASX J19391958-3540497,294.83157,-35.680440000000004,p
487,MCG +13-14-006,295.14255,76.79633000000001,u
488,UGC 11465,295.42551000000003,50.632490000000004,j
489,NGC 6812,296.35095,-55.3469,p
490,3C 403,298.06586,2.50677,j
491,Cygnus A,299.86807000000005,40.733940000000004,j
