2MASX,NED_id,ra,dec,l,b,Kmag,Kmag_err,z,zdist,zdist_err,D,D_err,gal_type,n_sumss,n_nvss,F1400,F1400_err,F843,F843_err,Fsyn,Lsyn,sum_ma,max_ma,lim_ma,max_dist_to_gal,min_dist_to_gal,contour_dist,geo_cen_ra,geo_cen_dec,flux_cen_ra,flux_cen_dec,class
08180059-1613599,2MASX J08180059-1613599,124.50249,-16.23335,237.62088,10.81805,10.578,0.061,0.0504651574,0.0511404583,0.0005003469,221.225252825,2.1644187273,-5,0,1,451.5,15.8,0,0,521.793860665,33610322958100000000000000000000000000000,0.0047777778,0.0047777778,0,0.0010725137,0.0010725137,0.0010673001,124.503429749,-16.2410820969,124.503408425,-16.2327487167,p
08205880-5705337,PKS 0819-569,125.24494,-57.09267,272.09744,-11.45986,11.063,0.068,0.0602419686,0.0612662575,0.0005003469,266.950526442,2.1801211504,-5,2,0,0,0,2394.2,69.8863362897,2040.89828223,191419970012000000000000000000000000000000,0.0125833333,0.0125833333,0,0.0192252586,0.0008005857,0,125.251956109,-57.0925096286,125.240783523,-57.0887568657,j
08353408-0151002,NGC 2616,128.89197,-1.8501,227.22206,22.06598,9.827,0.043,0.0311883946,0.0311616572,0.0005003469,132.849473674,2.1330964399,-1,0,5,939.4,17.4682569251,0,0,1085.65482327,25218297447000000000000000000000000000000,0.10775,0.0302222222,0,0.0376527117,0.000269127,0,128.892167935,-1.8503217013,128.887998591,-1.8503217013,j
08391582+2850389,B2 0836+29,129.81595,28.84413,195.29048,34.98563,11.119,0.056,0.078958341,0.0823209993,0.0005003469,364.001637525,2.212401288,-4,0,5,918.4,15.6230598795,0,0,1061.38534138,185090479527000000000000000000000000000000,0.0953055556,0.0300277778,0,0.0503426086,0.0017388475,0,129.80169938,28.8493586707,129.815713602,28.8620825288,j
08445266-1000590,2MASX J08445266-1000590,131.21948,-10.01641,235.94627,19.69423,11.263,0.062,0.042869866,0.0431891532,0.0005003469,185.757853301,2.1520070669,98,0,2,306.7,10.616967552,0,0,354.450004576,16097323567200000000000000000000000000000,0.0181111111,0.012,0,0.0180757508,0.0006191466,0,131.217214345,-10.0151748014,131.217214345,-10.0151748014,j
08450824-3347411,NGC 2663,131.28436,-33.79476,255.67424,5.64892,6.794,0.018,0.0070115514,0.007166923,0.0004586513,29.966472588,1.8032278746,-5,7,10,2584.5,55.8644788752,2859.6,69.108176072,2986.87980706,3530151271280000000000000000000000000000,0.2645277778,0.1043888889,0,0.2741992795,0.001390352,0,131.29444946,-33.819961738,131.2905049,-33.7911402506,j
08471978-3320011,PKS 0845-331,131.83234,-33.33357,255.59473,6.29307,10.456,0.068,0.038286673,0.0381793677,0.0005003469,163.611090892,2.1441502107,98,0,5,322.3,7.6915538092,0,0,372.478762552,13122945250400000000000000000000000000000,0.0963333333,0.0351111111,0,0.0661537958,0.0047480123,0.0028621347,131.861237798,-33.3096199447,131.861302878,-33.3137873613,j
08475313+5352344,NGC 2656,131.97136,53.87619,164.14388,38.57832,10.604,0.042,0.0454916925,0.0469390041,0.0005003469,202.436033079,2.1578693504,-5,0,1,1542.3,51.8,0,0,1782.42009148,96136880531400000000000000000000000000000,0.0085277778,0.0085277778,0,0.0018637636,0.0018637636,0,131.97172675,53.8795005845,131.964658438,53.8794987607,p
08475906+3147083,IC 2402,131.99605,31.78565,192.26427,37.4831,10.804,0.052,0.0673035548,0.0697416182,0.0005003469,305.699090386,2.1931751945,0,0,5,1624.8,33.1780047622,0,0,1877.76448463,230958385019000000000000000000000000000000,0.0655555556,0.0277777778,0,0.0589278072,0.002355415,0.0156698135,132.000284936,31.7953198358,132.005120153,31.7910956245,j
08531896+6828187,CGCG 332-026,133.32887,68.47191,145.98901,36.14145,10.505,0.033,0.0402647178,0.0416858308,0.0005003469,179.095841086,2.1496523918,-5,0,2,297.2,9.9408249155,0,0,343.470953244,14499911035200000000000000000000000000000,0.0265,0.017,0,0.0186447592,0.0005545955,0,133.330707066,68.4708986196,133.319046629,68.47495095,j
